,Standard__Gls,Standard__Sh,Standard__SoT,Standard__SoT%,Standard__G/Sh,Standard__G/SoT,Standard__Dist,Standard__FK,Standard__PK,Standard__PKatt
305,2,14.0,3.0,21.4,0.14,0.67,17.6,1.0,0,0
306,0,11.0,0.0,0.0,0.0,,20.2,0.0,0,0
307,1,10.0,3.0,30.0,0.1,0.33,17.0,0.0,0,0
308,0,7.0,0.0,0.0,0.0,,24.6,1.0,0,0
309,1,9.0,2.0,22.2,0.11,0.5,33.8,0.0,0,0
310,1,8.0,5.0,62.5,0.13,0.2,18.6,0.0,0,0
311,0,10.0,3.0,30.0,0.0,0.0,20.3,3.0,0,0
312,2,8.0,3.0,37.5,0.25,0.67,13.5,0.0,0,0
313,2,13.0,4.0,30.8,0.15,0.5,19.8,0.0,0,1
314,4,22.0,10.0,45.5,0.18,0.4,14.0,1.0,0,1
315,0,10.0,3.0,30.0,0.0,0.0,29.1,0.0,0,0
316,2,10.0,4.0,40.0,0.2,0.5,13.4,1.0,0,0
317,0,18.0,2.0,11.1,0.0,0.0,18.8,0.0,0,0
318,0,10.0,2.0,20.0,0.0,0.0,20.1,0.0,0,0
319,0,10.0,3.0,30.0,0.0,0.0,18.7,0.0,0,0
320,0,17.0,6.0,35.3,0.0,0.0,17.1,2.0,0,0
321,2,13.0,6.0,46.2,0.15,0.33,16.2,0.0,0,0
322,1,9.0,4.0,44.4,0.11,0.25,23.8,1.0,0,0
323,3,14.0,5.0,35.7,0.21,0.6,18.3,0.0,0,0
324,4,16.0,6.0,37.5,0.25,0.67,16.4,1.0,0,0
325,1,6.0,1.0,16.7,0.17,1.0,20.3,2.0,0,0
326,0,10.0,3.0,30.0,0.0,0.0,25.7,1.0,0,0
327,1,13.0,5.0,38.5,0.08,0.2,18.5,1.0,0,0
328,1,18.0,5.0,27.8,0.0,0.0,16.2,1.0,1,1
329,0,16.0,6.0,37.5,0.0,0.0,23.4,2.0,0,0
330,1,8.0,4.0,50.0,0.13,0.25,20.9,0.0,0,0
331,0,9.0,1.0,11.1,0.0,0.0,16.0,0.0,0,0
332,0,14.0,5.0,35.7,0.0,0.0,15.2,0.0,0,0
333,3,17.0,10.0,58.8,0.12,0.2,16.5,1.0,1,1
334,1,9.0,2.0,22.2,0.11,0.5,22.5,1.0,0,0
335,0,22.0,3.0,13.6,0.0,0.0,16.2,2.0,0,0
336,1,15.0,4.0,26.7,0.07,0.25,14.6,0.0,0,0
337,3,7.0,3.0,42.9,0.43,1.0,20.5,2.0,0,0
338,0,10.0,5.0,50.0,0.0,0.0,24.8,1.0,0,0
339,2,10.0,5.0,50.0,0.2,0.4,19.8,2.0,0,0
340,1,11.0,5.0,45.5,0.09,0.2,17.5,2.0,0,0
341,1,16.0,6.0,37.5,0.0,0.0,20.4,0.0,1,1
342,1,3.0,1.0,33.3,0.0,0.0,33.0,1.0,1,1
343,2,13.0,4.0,30.8,0.15,0.5,14.3,1.0,0,0
344,5,9.0,5.0,55.6,0.56,1.0,15.1,0.0,0,0
345,3,14.0,3.0,21.4,0.21,1.0,11.4,0.0,0,0
346,1,8.0,4.0,50.0,0.13,0.25,15.3,0.0,0,0
347,0,9.0,5.0,55.6,0.0,0.0,22.7,0.0,0,0
348,3,16.0,8.0,50.0,0.19,0.38,17.5,3.0,0,0
349,0,9.0,2.0,22.2,0.0,0.0,18.3,0.0,0,0
350,2,13.0,7.0,53.8,0.08,0.14,15.9,0.0,1,1
351,0,8.0,1.0,12.5,0.0,0.0,28.4,1.0,0,0
352,1,11.0,5.0,45.5,0.09,0.2,18.8,1.0,0,0
353,1,13.0,3.0,23.1,0.08,0.33,18.3,2.0,0,0
354,2,9.0,4.0,44.4,0.22,0.5,17.3,0.0,0,1
